,Month,Risk,Pulls,%Pulls,Total Pulls,Average Deads,%Deads,Total Deads,Case Fatality,Seasons
63,2018-03-01,High Risk,746.0,0.0202,8947.0,53.0,0.0017000000000000001,632.0,0.0706,Spring
64,2018-03-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spring
65,2018-03-01,Natural,204.0,0.0115,204.0,6.0,0.0003,6.0,0.0294,Spring
67,2018-05-01,Low Risk,508.0,0.016,5081.0,43.0,0.0013,432.0,0.085,Other
68,2018-05-01,Moderate Risk,305.0,0.0167,8848.0,31.0,0.0019,889.0,0.1005,Other
69,2018-05-01,High Risk,405.0,0.0127,5266.0,36.0,0.0011,471.0,0.0894,Other
70,2018-05-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other
71,2018-05-01,Natural,133.0,0.009399999999999999,266.0,12.0,0.0008,24.0,0.0902,Other
73,2018-10-01,Low Risk,519.0,0.0208,6744.0,49.0,0.0016,582.0,0.0863,Fall
74,2018-10-01,Moderate Risk,529.0,0.0332,20649.0,51.0,0.003,1989.0,0.09630000000000001,Fall
75,2018-10-01,High Risk,668.0,0.0388,10027.0,69.0,0.0031,971.0,0.0968,Fall
76,2018-10-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall
77,2018-10-01,Natural,415.0,0.0274,829.0,43.0,0.0028000000000000004,86.0,0.10369999999999999,Fall
79,2018-09-01,Low Risk,481.0,0.0163,5291.0,40.0,0.0012,445.0,0.08410000000000001,Fall
80,2018-09-01,Moderate Risk,417.0,0.0279,15009.0,42.0,0.0024,1464.0,0.0975,Fall
81,2018-09-01,High Risk,711.0,0.031200000000000002,10667.0,63.0,0.0029,944.0,0.0885,Fall
82,2018-09-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall
83,2018-09-01,Natural,515.0,0.0334,1029.0,53.0,0.0034000000000000002,106.0,0.10300000000000001,Fall
